accuracy,actual_evidence_position,analysis_status,answer_bearing_accuracy,answer_bearing_correct_n,answer_bearing_scored_n,artifact_sha256,artifact_size_bytes,artifact_uri,attempted_n,completed_n,condition_id,context_instance_id,context_sha256,correct_n,end_to_end_success,error_n,exact_accuracy,exact_correct_n,exact_scored_n,experiment_id,failure_n,failure_rate,format_scored_n,format_valid_n,format_validity,invalid_output_n,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,quantization_type,requested_evidence_position,runtime_error_n,scored_accuracy,scored_n,scorer_error_n,scorer_version,target_context_tokens,task_catalog,task_catalog_sha256,task_type,variant_condition_id,variant_label
0.2,0.49908447265625,available,1.0,10,10,,,,10,10,baseline:ctx008192:p050,,,2,0.2,0,0.2,2,10,exp_001,0,0.0,10,2,0.2,0,,31170420736.0,8.12455559874098,,109.76399216452836,75.02460797945969,76.19507495837752,75.02460797945969,10,,0.5,0,0.2,10,0,calibrated.v1,8192,,,literal_retrieval,,
0.6,0.4997711181640625,available,1.0,10,10,,,,10,10,baseline:ctx032768:p050,,,6,0.6,0,0.6,6,10,exp_001,0,0.0,10,6,0.6,0,,31227985920.0,7.169286037634272,,96.65233159255067,339.4552870624466,340.5001678749686,339.4552870624466,10,,0.5,0,0.6,10,0,calibrated.v1,32768,,,literal_retrieval,,
0.8,0.4991861979166667,available,1.0,10,10,,,,10,10,baseline:ctx008192:p050,,,8,0.8,0,0.8,8,10,exp_001,0,0.0,10,8,0.8,0,,31195840512.0,8.095713992026152,,109.75383659216132,75.05698337499052,75.76287343737204,75.05698337499052,10,,0.5,0,0.8,10,0,calibrated.v1,8192,,,multi_hop,,
0.9,0.4997965494791667,available,1.0,10,10,,,,10,10,baseline:ctx032768:p050,,,9,0.9,0,0.9,9,10,exp_001,0,0.0,10,9,0.9,0,,31248973824.0,7.175020031660614,,97.20950026197842,337.53902681253385,338.33965235447977,337.53902681253385,10,,0.5,0,0.9,10,0,calibrated.v1,32768,,,multi_hop,,
0.4,0.499267578125,available,1.0,10,10,,,,10,10,baseline:ctx008192:p050,,,4,0.4,0,0.4,4,10,exp_001,0,0.0,10,9,0.9,0,,31195799552.0,8.088290074695365,,109.75475781488531,75.01683647907339,75.60449981247075,75.01683647907339,10,,0.5,0,0.4,10,0,calibrated.v1,8192,,,semantic_retrieval,,
0.3,0.49981689453125,available,1.0,10,10,,,,10,10,baseline:ctx032768:p050,,,3,0.3,0,0.3,3,10,exp_001,0,0.0,10,8,0.8,0,,31229485056.0,7.173588057535618,,96.99054051453919,338.25980481202714,338.8909167915117,338.25980481202714,10,,0.5,0,0.3,10,0,calibrated.v1,32768,,,semantic_retrieval,,
