accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,context_instance_id,context_sha256,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
0.0,0.4990234375,1,1,q8_0:ctx008192:p050,task.literal.000001:seed1043:ctx8192:p050,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,exp_003,0,0.0,,30714167296.0,7.894524371661679,,113.33118036460964,72.65432137483731,74.04769220785238,72.65432137483731,1,0.5,0.0,1,8192,literal_retrieval,q8_0
0.0,0.04998779296875,1,1,q8_0:ctx032768:p005,task.literal.000001:seed1043:ctx32768:p005,8e99d4533d12ba622db39af23e6c7971491388f8ee5a7a2cbfea0520605fa81b,0,0.0,0,exp_003,0,0.0,,30775738368.0,7.1958070029969505,,100.39110004591653,326.82179979095235,328.07252816599794,326.82179979095235,1,0.05,0.0,1,32768,literal_retrieval,q8_0
0.0,0.499755859375,1,1,q8_0:ctx032768:p050,task.literal.000001:seed1043:ctx32768:p050,742a7775efbfdc8d4bbba7f3ceed53d016a9c5b129f96366186a71ac8e1982fd,0,0.0,0,exp_003,0,0.0,,30784749568.0,6.98011821633887,,91.10930615067905,360.1168902080972,361.69279474997893,360.1168902080972,1,0.5,0.0,1,32768,literal_retrieval,q8_0
1.0,0.05078125,1,1,q4_k_m:ctx008192:p005,task.multihop.000001:seed1045:ctx8192:p005,e11b2575792cdec314cddf0a144f9df643a14cd8885a9d4703794966f14add11,1,1.0,0,exp_003,0,0.0,,30790746112.0,12.14977392866564,,107.394507868465,76.73576762503944,77.14729791600257,76.73576762503944,1,0.05,1.0,1,8192,multi_hop,q4_k_m
1.0,0.4991861979166667,1,1,q4_k_m:ctx008192:p050,task.multihop.000001:seed1045:ctx8192:p050,cc1943a6dd8761c310c66f4aafc910b02b1a98c5b906cd30e92fa5519fb2ced5,1,1.0,0,exp_003,0,0.0,,30790746112.0,12.149037099390604,,107.27898233397823,76.81840208312497,77.22995733306743,76.81840208312497,1,0.5,1.0,1,8192,multi_hop,q4_k_m
1.0,0.050181070963541664,1,1,q4_k_m:ctx032768:p005,task.multihop.000001:seed1045:ctx32768:p005,9204a5a6bd29d1cf4e80875bc44eb5c4fb5d5a409966ceaada5c7d3ae88b95a6,1,1.0,0,exp_003,0,0.0,,30790746112.0,10.240602086180317,,94.85270585761472,345.9785327501595,346.46678529214114,345.9785327501595,1,0.05,1.0,1,32768,multi_hop,q4_k_m
1.0,0.4997965494791667,1,1,q4_k_m:ctx032768:p050,task.multihop.000001:seed1045:ctx32768:p050,f9fe2ed3ecf12b5dd074e7adc2f7c00650db03b93d5413a654d44a1cb00b6c9a,1,1.0,0,exp_003,0,0.0,,30790746112.0,10.25550392169946,,94.8144918763277,346.11797575000674,346.6055188330356,346.11797575000674,1,0.5,1.0,1,32768,multi_hop,q4_k_m
1.0,0.05078125,1,1,q5_k_m:ctx008192:p005,task.multihop.000001:seed1045:ctx8192:p005,e11b2575792cdec314cddf0a144f9df643a14cd8885a9d4703794966f14add11,1,1.0,0,exp_003,0,0.0,,30790746112.0,10.290124060865335,,99.46231737544325,82.85549962497316,83.34140241588466,82.85549962497316,1,0.05,1.0,1,8192,multi_hop,q5_k_m
1.0,0.4991861979166667,1,1,q5_k_m:ctx008192:p050,task.multihop.000001:seed1045:ctx8192:p050,cc1943a6dd8761c310c66f4aafc910b02b1a98c5b906cd30e92fa5519fb2ced5,1,1.0,0,exp_003,0,0.0,,30790746112.0,10.353542412128602,,99.44559453215308,82.86943266587332,83.35235916590318,82.86943266587332,1,0.5,1.0,1,8192,multi_hop,q5_k_m
1.0,0.050181070963541664,1,1,q5_k_m:ctx032768:p005,task.multihop.000001:seed1045:ctx32768:p005,9204a5a6bd29d1cf4e80875bc44eb5c4fb5d5a409966ceaada5c7d3ae88b95a6,1,1.0,0,exp_003,0,0.0,,30790746112.0,8.843796655848271,,88.9192163710542,369.06533074984327,369.6306987919379,369.06533074984327,1,0.05,1.0,1,32768,multi_hop,q5_k_m
1.0,0.4997965494791667,1,1,q5_k_m:ctx032768:p050,task.multihop.000001:seed1045:ctx32768:p050,f9fe2ed3ecf12b5dd074e7adc2f7c00650db03b93d5413a654d44a1cb00b6c9a,1,1.0,0,exp_003,0,0.0,,30790746112.0,8.888414840166876,,89.01092478667924,368.6850808330346,369.2476108330302,368.6850808330346,1,0.5,1.0,1,32768,multi_hop,q5_k_m
1.0,0.05078125,1,1,q6_k:ctx008192:p005,task.multihop.000001:seed1045:ctx8192:p005,e11b2575792cdec314cddf0a144f9df643a14cd8885a9d4703794966f14add11,1,1.0,0,exp_003,0,0.0,,30790746112.0,9.790882246229737,,104.18937773747737,79.09635491599329,79.60703412489966,79.09635491599329,1,0.05,1.0,1,8192,multi_hop,q6_k
1.0,0.4991861979166667,1,1,q6_k:ctx008192:p050,task.multihop.000001:seed1045:ctx8192:p050,cc1943a6dd8761c310c66f4aafc910b02b1a98c5b906cd30e92fa5519fb2ced5,1,1.0,0,exp_003,0,0.0,,30790746112.0,9.813236116066935,,104.36416338520813,78.96388695784844,79.47340287500992,78.96388695784844,1,0.5,1.0,1,8192,multi_hop,q6_k
1.0,0.050181070963541664,1,1,q6_k:ctx032768:p005,task.multihop.000001:seed1045:ctx32768:p005,9204a5a6bd29d1cf4e80875bc44eb5c4fb5d5a409966ceaada5c7d3ae88b95a6,1,1.0,0,exp_003,0,0.0,,30790746112.0,8.394696240331587,,92.67843266092478,354.0953278748784,354.6909420408774,354.0953278748784,1,0.05,1.0,1,32768,multi_hop,q6_k
1.0,0.4997965494791667,1,1,q6_k:ctx032768:p050,task.multihop.000001:seed1045:ctx32768:p050,f9fe2ed3ecf12b5dd074e7adc2f7c00650db03b93d5413a654d44a1cb00b6c9a,1,1.0,0,exp_003,0,0.0,,30790746112.0,8.488753566177232,,92.59648131847196,354.4087154578883,354.9977300830651,354.4087154578883,1,0.5,1.0,1,32768,multi_hop,q6_k
1.0,0.05078125,1,1,q8_0:ctx008192:p005,task.multihop.000001:seed1045:ctx8192:p005,e11b2575792cdec314cddf0a144f9df643a14cd8885a9d4703794966f14add11,1,1.0,0,exp_003,0,0.0,,30711169024.0,7.886574244129095,,113.40748643698839,72.66716033406556,73.30114916688763,72.66716033406556,1,0.05,1.0,1,8192,multi_hop,q8_0
1.0,0.4991861979166667,1,1,q8_0:ctx008192:p050,task.multihop.000001:seed1045:ctx8192:p050,cc1943a6dd8761c310c66f4aafc910b02b1a98c5b906cd30e92fa5519fb2ced5,1,1.0,0,exp_003,0,0.0,,30720163840.0,8.13643334114793,,115.55197081563306,71.31855858303607,71.93307845806703,71.31855858303607,1,0.5,1.0,1,8192,multi_hop,q8_0
1.0,0.050181070963541664,1,1,q8_0:ctx032768:p005,task.multihop.000001:seed1045:ctx32768:p005,9204a5a6bd29d1cf4e80875bc44eb5c4fb5d5a409966ceaada5c7d3ae88b95a6,1,1.0,0,exp_003,0,0.0,,30781751296.0,6.98027205862199,,94.75617095583556,346.3310058750212,347.0473103339318,346.3310058750212,1,0.05,1.0,1,32768,multi_hop,q8_0
1.0,0.4997965494791667,1,1,q8_0:ctx032768:p050,task.multihop.000001:seed1045:ctx32768:p050,f9fe2ed3ecf12b5dd074e7adc2f7c00650db03b93d5413a654d44a1cb00b6c9a,1,1.0,0,exp_003,0,0.0,,30790746112.0,7.142448145083229,,98.47602211713439,333.248635499971,333.94867558404803,333.248635499971,1,0.5,1.0,1,32768,multi_hop,q8_0
0.0,0.0499267578125,1,1,q4_k_m:ctx008192:p005,task.semantic.000001:seed1044:ctx8192:p005,8b7deb7296166182c4fe1bce05b2030ffa2fff001fb31ce6c00e5744e61ac2a3,0,0.0,0,exp_003,0,0.0,,30790746112.0,12.178364320960474,,106.89196141416215,77.01233929186128,77.5050162919797,77.01233929186128,1,0.05,0.0,1,8192,semantic_retrieval,q4_k_m
0.0,0.499267578125,1,1,q4_k_m:ctx008192:p050,task.semantic.000001:seed1044:ctx8192:p050,ce8fe935e6eced6d613062fc72d1613004e117a6c7286d839af96777b6e71d9f,0,0.0,0,exp_003,0,0.0,,30790746112.0,12.196977108467115,,107.19622504666167,76.79374900017865,77.28567416709848,76.79374900017865,1,0.5,0.0,1,8192,semantic_retrieval,q4_k_m
0.0,0.04998779296875,1,1,q4_k_m:ctx032768:p005,task.semantic.000001:seed1044:ctx32768:p005,00484a4a14b619f665c46f76d3aa4a521a737e33f5752f4e90a0e065b22334eb,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.234150263409276,,94.83041391131083,345.9649562500417,346.5512286659796,345.9649562500417,1,0.05,0.0,1,32768,semantic_retrieval,q4_k_m
0.0,0.49981689453125,1,1,q4_k_m:ctx032768:p050,task.semantic.000001:seed1044:ctx32768:p050,455fc4e84073472ef3496c4fdfbe9dfe18694d5120e7fe3d9b2b6290011dec07,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.292024038389343,,94.90631609059515,345.6882676668465,346.2712433747947,345.6882676668465,1,0.5,0.0,1,32768,semantic_retrieval,q4_k_m
0.0,0.0499267578125,1,1,q5_k_m:ctx008192:p005,task.semantic.000001:seed1044:ctx8192:p005,8b7deb7296166182c4fe1bce05b2030ffa2fff001fb31ce6c00e5744e61ac2a3,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.38528184541334,,99.52715428231319,82.71109587489627,83.19254645798355,82.71109587489627,1,0.05,0.0,1,8192,semantic_retrieval,q5_k_m
0.0,0.499267578125,1,1,q5_k_m:ctx008192:p050,task.semantic.000001:seed1044:ctx8192:p050,ce8fe935e6eced6d613062fc72d1613004e117a6c7286d839af96777b6e71d9f,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.664334189913633,,99.58097868690648,82.66638979199342,83.28722924995236,82.66638979199342,1,0.5,0.0,1,8192,semantic_retrieval,q5_k_m
0.0,0.04998779296875,1,1,q5_k_m:ctx032768:p005,task.semantic.000001:seed1044:ctx32768:p005,00484a4a14b619f665c46f76d3aa4a521a737e33f5752f4e90a0e065b22334eb,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.7155690403605,,88.92128387945503,368.9555364998523,369.64395970804617,368.9555364998523,1,0.05,0.0,1,32768,semantic_retrieval,q5_k_m
0.0,0.49981689453125,1,1,q5_k_m:ctx032768:p050,task.semantic.000001:seed1044:ctx32768:p050,455fc4e84073472ef3496c4fdfbe9dfe18694d5120e7fe3d9b2b6290011dec07,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.030144874660833,,89.02332080064092,368.53264633286744,369.19708750001155,368.53264633286744,1,0.5,0.0,1,32768,semantic_retrieval,q5_k_m
0.0,0.0499267578125,1,1,q6_k:ctx008192:p005,task.semantic.000001:seed1044:ctx8192:p005,8b7deb7296166182c4fe1bce05b2030ffa2fff001fb31ce6c00e5744e61ac2a3,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.86940881273113,,104.72873371117193,78.60307012498379,79.10968608292751,78.60307012498379,1,0.05,0.0,1,8192,semantic_retrieval,q6_k
0.0,0.499267578125,1,1,q6_k:ctx008192:p050,task.semantic.000001:seed1044:ctx8192:p050,ce8fe935e6eced6d613062fc72d1613004e117a6c7286d839af96777b6e71d9f,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.824299234747864,,104.18013879451799,79.01698054210283,79.62771112518385,79.01698054210283,1,0.5,0.0,1,8192,semantic_retrieval,q6_k
0.0,0.04998779296875,1,1,q6_k:ctx032768:p005,task.semantic.000001:seed1044:ctx32768:p005,00484a4a14b619f665c46f76d3aa4a521a737e33f5752f4e90a0e065b22334eb,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.42070053420135,,92.59908342096563,354.3015631251037,355.0140929170884,354.3015631251037,1,0.05,0.0,1,32768,semantic_retrieval,q6_k
0.0,0.49981689453125,1,1,q6_k:ctx032768:p050,task.semantic.000001:seed1044:ctx32768:p050,455fc4e84073472ef3496c4fdfbe9dfe18694d5120e7fe3d9b2b6290011dec07,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.30107348276752,,92.50317679794463,354.66890041693114,355.39169849990867,354.66890041693114,1,0.5,0.0,1,32768,semantic_retrieval,q6_k
0.0,0.0499267578125,1,1,q8_0:ctx008192:p005,task.semantic.000001:seed1044:ctx8192:p005,8b7deb7296166182c4fe1bce05b2030ffa2fff001fb31ce6c00e5744e61ac2a3,0,0.0,0,exp_003,0,0.0,,30708121600.0,7.8781460886843755,,112.50584925854531,73.16952900006436,73.93112950003706,73.16952900006436,1,0.05,0.0,1,8192,semantic_retrieval,q8_0
0.0,0.499267578125,1,1,q8_0:ctx008192:p050,task.semantic.000001:seed1044:ctx8192:p050,ce8fe935e6eced6d613062fc72d1613004e117a6c7286d839af96777b6e71d9f,0,0.0,0,exp_003,0,0.0,,30717165568.0,8.11573396863266,,114.88372016193746,71.65506120794453,72.39436587505043,71.65506120794453,1,0.5,0.0,1,8192,semantic_retrieval,q8_0
0.0,0.04998779296875,1,1,q8_0:ctx032768:p005,task.semantic.000001:seed1044:ctx32768:p005,00484a4a14b619f665c46f76d3aa4a521a737e33f5752f4e90a0e065b22334eb,0,0.0,0,exp_003,0,0.0,,30778736640.0,7.164579397592128,,99.29603498223923,330.40594225004315,331.24339545797557,330.40594225004315,1,0.05,0.0,1,32768,semantic_retrieval,q8_0
0.0,0.49981689453125,1,1,q8_0:ctx032768:p050,task.semantic.000001:seed1044:ctx32768:p050,455fc4e84073472ef3496c4fdfbe9dfe18694d5120e7fe3d9b2b6290011dec07,0,0.0,0,exp_003,0,0.0,,30787747840.0,7.154855367495508,,96.38470726696156,340.3859484589193,341.22453983384185,340.3859484589193,1,0.5,0.0,1,32768,semantic_retrieval,q8_0
