accuracy,actual_evidence_position,answer_bearing_accuracy,answer_bearing_correct_n,answer_bearing_scored_n,artifact_sha256,artifact_size_bytes,artifact_uri,attempted_n,completed_n,condition_id,context_instance_id,context_sha256,correct_n,end_to_end_success,error_n,exact_accuracy,exact_correct_n,exact_scored_n,experiment_id,failure_n,failure_rate,format_scored_n,format_valid_n,format_validity,invalid_output_n,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,quantization_type,requested_evidence_position,runtime_error_n,scored_accuracy,scored_n,scorer_error_n,scorer_version,target_context_tokens,task_catalog,task_catalog_sha256,task_id,task_type,variant_condition_id,variant_label
1.0,0.4991861979166667,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31238701056.0,8.026632895919873,,114.82508825319991,71.77002975018695,72.39295595907606,71.77002975018695,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000001,multi_hop,q8_0,Q8_0
1.0,0.4991861979166667,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31241699328.0,8.053423733474954,,115.8105929064551,71.15929375006817,71.7801477080211,71.15929375006817,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000002,multi_hop,q8_0,Q8_0
0.0,0.4991861979166667,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,0,0.0,0,,31244697600.0,8.051378522162073,,116.02264908813389,71.0033779158257,71.87279425002635,71.0033779158257,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000003,multi_hop,q8_0,Q8_0
1.0,0.4992268880208333,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31247695872.0,8.027741196441497,,115.1452348240315,71.52705895807594,72.27446720818989,71.52705895807594,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000004,multi_hop,q8_0,Q8_0
1.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31250612224.0,7.957572870212727,,114.05805362567075,72.22637716610916,72.85470945807174,72.22637716610916,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000005,multi_hop,q8_0,Q8_0
0.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,0,0.0,0,,31253610496.0,7.86877133250101,,114.51185016293368,71.92268737498671,73.06644916697405,71.92268737498671,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000006,multi_hop,q8_0,Q8_0
1.0,0.4991861979166667,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31256608768.0,7.857466597163031,,113.96568812879792,72.29368887492456,72.93002629210241,72.29368887492456,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000007,multi_hop,q8_0,Q8_0
1.0,0.4992268880208333,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31256625152.0,8.051585607655953,,114.76898744857375,71.78768570814282,72.53288054210134,71.78768570814282,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000008,multi_hop,q8_0,Q8_0
1.0,0.4990234375,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31256625152.0,7.807430058195827,,114.58390921104517,71.88618416595273,72.91084912489168,71.88618416595273,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000009,multi_hop,q8_0,Q8_0
1.0,0.4989827473958333,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31256625152.0,7.966138222427464,,114.78047536426892,71.79792533395812,72.67664470896125,71.79792533395812,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.multihop.000010,multi_hop,q8_0,Q8_0
0.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,1,1.0,0,,31208701952.0,8.02609685486491,,116.43917509884407,70.6978557088878,71.44541708379984,70.6978557088878,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000001,semantic_retrieval,q8_0,Q8_0
0.0,0.4990234375,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,1,1.0,0,,31211667456.0,8.148364053298137,,115.38352897681693,71.3360049999319,72.07234912505373,71.3360049999319,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000002,semantic_retrieval,q8_0,Q8_0
0.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,0,0.0,0,,31214665728.0,8.153717924556936,,116.95791615083195,70.40994120808318,78.25912124989554,70.40994120808318,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000003,semantic_retrieval,q8_0,Q8_0
0.0,0.4993896484375,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,1,1.0,0,,31217664000.0,7.637039506493701,,115.45494082144869,71.30920462496579,71.83296779217198,71.30920462496579,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000004,semantic_retrieval,q8_0,Q8_0
1.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31220662272.0,7.739907501400127,,113.89398604796627,72.28652087505907,72.80332291685045,72.28652087505907,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000005,semantic_retrieval,q8_0,Q8_0
1.0,0.4990234375,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31223660544.0,7.93539686831736,,115.49215917731675,71.29488320811652,71.92497141705826,71.29488320811652,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000006,semantic_retrieval,q8_0,Q8_0
1.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31226658816.0,8.00543212437939,,115.43480304326073,71.32164462492801,71.6963901668787,71.32164462492801,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000007,semantic_retrieval,q8_0,Q8_0
0.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,1,1.0,0,,31229657088.0,7.85318770380061,,114.49221716095452,71.88261529104784,72.6466362499632,71.88261529104784,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000008,semantic_retrieval,q8_0,Q8_0
0.0,0.4993896484375,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,0,0.0,0,0.0,0,1,exp_002,0,0.0,1,1,1.0,0,,31232655360.0,7.427024835277386,,114.25555029688027,72.0490162500646,72.58758991700597,72.0490162500646,1,Q8_0,0.5,0,0.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000009,semantic_retrieval,q8_0,Q8_0
1.0,0.499267578125,1.0,1,1,6cb70620c7811dce01e1a622fe0a4f9ac445e31c569640c36ecfac85c4609b6c,29047084256,artifacts/q8_0.gguf,1,1,q8_0:ctx8192,,,1,1.0,0,1.0,1,1,exp_002,0,0.0,1,1,1.0,0,,31235686400.0,7.651192343370897,,110.15034430714951,74.7523764159996,75.14447216596454,74.7523764159996,1,Q8_0,0.5,0,1.0,1,0,calibrated.v1,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.semantic.000010,semantic_retrieval,q8_0,Q8_0
