accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
0.0,0.4990234375,1,1,q8_0:ctx8192,0,0.0,0,exp_002,0,0.0,,31192137728.0,7.775078294655409,,117.6179646692925,70.00631258287467,71.4210893327836,70.00631258287467,1,0.5,0.0,1,8192,literal_retrieval,q8_0
1.0,0.4991861979166667,1,1,q8_0:ctx8192,1,1.0,0,exp_002,0,0.0,,31198658560.0,8.08272234559942,,114.43407821039274,72.01526091597043,72.63386437483132,72.01526091597043,1,0.5,1.0,1,8192,multi_hop,q8_0
0.0,0.499267578125,1,1,q8_0:ctx8192,0,0.0,0,exp_002,0,0.0,,31195643904.0,8.10166509546665,,113.4629141433709,72.55234066699632,73.29292916692793,72.55234066699632,1,0.5,0.0,1,8192,semantic_retrieval,q8_0
